text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
"Japan : 19 - Kenichi Shimokawa , 2 - Hiroshige Yanagimoto , 3 - Naoki Soma , 4 -","{'PER': ['Kenichi Shimokawa', 'Hiroshige Yanagimoto', 'Naoki Soma', 'Masami Ihara', 'Norio Omura', 'Motohiro Yamaguchi', 'Masakiyo Maezono', 'Yasuto Honda', 'Takuya Takagi', 'Hiroshi Nanami', 'Kazuyoshi Miura', 'Hiroaki Morishima', 'Masayuki Okano'], 'LOC': ['Japan']}","```json
{
  ""PER"": [
    ""Kenichi Shimokawa"",
    ""Hiroshige Yanagimoto"",
    ""Naoki Soma"",
    ""Masami Ihara"",
    ""Norio Omura"",
    ""Motohiro Yamaguchi"",
    ""Masakiyo Maezono"",
    ""Yasuto Honda"",
    ""Takuya Takagi"",
    ""Hiroshi Nanami"",
    ""Kazuyoshi Miura"",
    ""Hiroaki Morishima"",
    ""Masayuki Okano""
  ],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Kenichi Shimokawa"",
    ""Hiroshige Yanagimoto"",
    ""Naoki Soma"",
    ""Masami Ihara"",
    ""Norio Omura"",
    ""Motohiro Yamaguchi"",
    ""Masakiyo Maezono"",
    ""Yasuto Honda"",
    ""Takuya Takagi"",
    ""Hiroshi Nanami"",
    ""Kazuyoshi Miura"",
    ""Hiroaki Morishima"",
    ""Masayuki Okano","```json
{
  ""PER"": [
    ""Kenichi Shimokawa"",
    ""Hiroshige Yanagimoto"",
    ""Naoki Soma"",
    ""Masami Ihara"",
    ""Norio Omura"",
    ""Motohiro Yamaguchi"",
    ""Masakiyo Maezono"",
    ""Yasuto Honda"",
    ""Takuya Takagi"",
    ""Hiroshi Nanami"",
    ""Kazuyoshi Miura"",
    ""Hiroaki Morishima"",
    ""Masayuki Okano""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Japan""
  ],
  ""MISC"": []",1,0,0,1.0,0.0,0.0,3.822,1.332,0.986
"Syria : 24 - Salem Bitar , 3 - Bachar Srour ; 4 - Hassan Abbas , 5 - Tarek Jabba","{'PER': ['Salem Bitar', 'Bachar Srour', 'Hassan Abbas', 'Tarek Jabban', 'Ammar Awad', 'Louay Taleb', 'Nihad al-Boushi', 'Mohammed Afash', 'Ali Dib', 'Abdul Latif Helou', 'Ammar Rihawiy', 'Khaled Zaher', 'Nader Jokhadar'], 'LOC': ['Syria']}","```json
{
    ""PER"": [
        ""Salem Bitar"",
        ""Bachar Srour"",
        ""Hassan Abbas"",
        ""Tarek Jabban"",
        ""Ammar Awad"",
        ""Louay Taleb"",
        ""Nihad al-Boushi"",
        ""Mohammed Afash"",
        ""Ali Dib"",
        ""Abdul Latif Helou"",
        ""Ammar Rihawiy"",
        ""Khaled Zaher"",
        ""Nader Jokhadar""
    ],
    ""ORG"": [],
    ""LOC"": [""Syria""],
    ""MISC"": []
}
```","```json
{
  ""PER"": [""Salem Bitar"", ""Bachar Srour"", ""Hassan Abbas"", ""Tarek Jabban"", ""Ammar Awad"", ""Louay Taleb"", ""Nihad al-Boushi"", ""Mohammed Afash"", ""Ali Dib"", ""Abdul Latif Helou"", ""Ammar Rihawiy"", ""Khaled Zaher"", ""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Salem Bitar"",
    ""Bachar Srour"",
    ""Hassan Abbas"",
    ""Tarek Jabban"",
    ""Ammar Awad"",
    ""Louay Taleb"",
    ""Nihad al-Boushi"",
    ""Mohammed Afash"",
    ""Ali Dib"",
    ""Abdul Latif Helou"",
    ""Ammar Rihawiy"",
    ""Khaled Zaher"",
    ""Nader Jokhadar""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Syria""
  ],
  ""MISC"": []",1,1,0,1.0,1.0,0.0,2.567,1.116,1.642
FREESTYLE SKIING-WORLD CUP MOGUL RESULTS .,{'MISC': ['SKIING-WORLD CUP']},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""FREESTYLE SKIING"", ""WORLD CUP"", ""MOGUL""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""FREESTYLE SKIING"", ""WORLD CUP"", ""MOGUL""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""FREESTYLE SKIING"",
    ""WORLD CUP MOGUL""
  ]
}
```",0,0,0,0.0,0.0,0.0,0.894,0.946,1.024
"TIGNES , France 1996-12-06","{'LOC': ['TIGNES', 'France']}","{""LOC"": [""Tignes"", ""France""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""TIGNES"", ""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""TIGNES"", ""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.718,0.918,0.821
Results of the World Cup,{'MISC': ['World Cup']},"{""MISC"": [""World Cup""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""World Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""World Cup""]
}
```",1,1,1,1.0,1.0,1.0,0.718,1.841,0.781
freestyle skiing moguls competition on Friday :,{},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""freestyle skiing""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""freestyle skiing moguls""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""freestyle skiing moguls competition""
  ]
}
```",0,0,0,0.0,0.0,0.0,0.764,0.783,0.638
Men,{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Men""]}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```",1,0,1,1.0,0.0,1.0,0.659,0.864,0.528
1. Jesper Ronnback ( Sweden ) 25.76 points,"{'PER': ['Jesper Ronnback'], 'LOC': ['Sweden']}","{""PER"": [""Jesper Ronnback""], ""ORG"": [], ""LOC"": [""Sweden""], ""MISC"": []}","```json
{
  ""PER"": [""Jesper Ronnback""],
  ""ORG"": [],
  ""LOC"": [""Sweden""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Jesper Ronnback""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Sweden""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.026,1.023,0.923
2. Andrei Ivanov ( Russia ) 24.88,"{'PER': ['Andrei Ivanov'], 'LOC': ['Russia']}","{""PER"": [""Andrei Ivanov""], ""ORG"": [], ""LOC"": [""Russia""], ""MISC"": []}","```json
{
  ""PER"": [""Andrei Ivanov""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Andrei Ivanov""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.819,0.868,0.769
3. Ryan Johnson ( Canada ) 24.57,"{'PER': ['Ryan Johnson'], 'LOC': ['Canada']}","{""PER"": [""Ryan Johnson""], ""LOC"": [""Canada""]}","```json
{
  ""PER"": [""Ryan Johnson""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Ryan Johnson""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.615,1.227,0.82
4. Jean-Luc Brassard ( Canada ) 24.40,"{'PER': ['Jean-Luc Brassard'], 'LOC': ['Canada']}","{""PER"": [""Jean-Luc Brassard""], ""LOC"": [""Canada""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Jean-Luc Brassard""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Jean-Luc Brassard""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.716,1.022,0.822
5. Korneilus Hole ( Norway ) 23.92,"{'PER': ['Korneilus Hole'], 'LOC': ['Norway']}","{""PER"": [""Korneilus Hole""], ""LOC"": [""Norway""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Kornelius Hole""],
  ""ORG"": [],
  ""LOC"": [""Norway""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Korneilus Hole""],
  ""ORG"": [],
  ""LOC"": [""Norway""],
  ""MISC"": []
}
```",1,1,1,1.0,0.5,1.0,0.714,0.82,0.821
6. Jeremie Collomb-Patton ( France ) 23.87,"{'PER': ['Jeremie Collomb-Patton'], 'LOC': ['France']}","{""PER"": [""Jeremie Collomb-Patton""], ""LOC"": [""France""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Jeremie Collomb-Patton""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Jeremie Collomb-Patton""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.717,3.486,0.609
7. Jim Moran ( U.S. ) 23.25,"{'PER': ['Jim Moran'], 'LOC': ['U.S.']}","{""PER"": [""Jim Moran""], ""LOC"": [""U.S.""]}","```json
{
  ""PER"": [""Jim Moran""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Jim Moran""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.716,0.982,0.861
8. Dominick Gauthier ( Canada ) 22.73,"{'PER': ['Dominick Gauthier'], 'LOC': ['Canada']}","{""PER"": [""Dominick Gauthier""], ""ORG"": [], ""LOC"": [""Canada""], ""MISC"": []}","```json
{
  ""PER"": [""Dominick Gauthier""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Dominick Gauthier""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.923,0.921,0.92
9. Johann Gregoire ( France ) 22.58,"{'PER': ['Johann Gregoire'], 'LOC': ['France']}","{""PER"": [""Johann Gregoire""], ""LOC"": [""France""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Johann Gregoire""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Johann Gregoire""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,3.38,0.923,0.613
10. Troy Benson ( U.S. ) 22.56,"{'PER': ['Troy Benson'], 'LOC': ['U.S.']}","{""PER"": [""Troy Benson""], ""LOC"": [""U.S.""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Troy Benson""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Troy Benson""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.023,0.922,0.613
Women,{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Women""]
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```",1,0,1,1.0,0.0,1.0,0.82,0.704,0.835
1. Tatjana Mittermayer ( Germany ) 24.32,"{'PER': ['Tatjana Mittermayer'], 'LOC': ['Germany']}","```json
{""PER"": [""Tatjana Mittermayer""], ""ORG"": [], ""LOC"": [""Germany""], ""MISC"": []}
```","```json
{
  ""PER"": [""Tatjana Mittermayer""],
  ""ORG"": [],
  ""LOC"": [""Germany""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Tatjana Mittermayer""],
  ""ORG"": [],
  ""LOC"": [""Germany""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.688,0.947,0.577
2. Candice Gilg ( France ) 24.31,"{'PER': ['Candice Gilg'], 'LOC': ['France']}","{""PER"": [""Candice Gilg""], ""LOC"": [""France""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Candice Gilg""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Candice Gilg""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.961,1.119,0.621
3. Minna Karhu ( Finland ) 24.05,"{'PER': ['Minna Karhu'], 'LOC': ['Finland']}","{""PER"": [""Minna Karhu""], ""ORG"": [], ""LOC"": [""Finland""], ""MISC"": []}","```json
{
  ""PER"": [""Minna Karhu""],
  ""ORG"": [],
  ""LOC"": [""Finland""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Minna Karhu""],
  ""ORG"": [],
  ""LOC"": [""Finland""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,4.266,0.75,0.614
4. Tae Satoya ( Japan ) 23.75,"{'PER': ['Tae Satoya'], 'LOC': ['Japan']}","{""PER"": [""Tae Satoya""], ""LOC"": [""Japan""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Tae Satoya""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Tae Satoya""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Japan""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.718,1.125,1.023
5. Ann Battellle ( U.S. ) 23.56,"{'PER': ['Ann Battellle'], 'LOC': ['U.S.']}","{""PER"": [""Ann Battelle""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}","```json
{
  ""PER"": [""Ann Battellle""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Ann Battellle""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""U.S.""]
}
```",1,1,1,0.5,1.0,1.0,0.831,1.422,0.818
6. Donna Weinbrecht ( U.S. ) 22.48,"{'PER': ['Donna Weinbrecht'], 'LOC': ['U.S.']}","{""PER"": [""Donna Weinbrecht""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}","```json
{
  ""PER"": [""Donna Weinbrecht""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Donna Weinbrecht""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.72,0.816,0.82
7. Liz McIntyre ( U.S. ) 22.00,"{'PER': ['Liz McIntyre'], 'LOC': ['U.S.']}","{""PER"": [""Liz McIntyre""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}","```json
{
  ""PER"": [""Liz McIntyre""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Liz McIntyre""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.819,1.024,0.527
8. Elena Koroleva ( Russia ) 21.77,"{'PER': ['Elena Koroleva'], 'LOC': ['Russia']}","```json
{""PER"": [""Elena Koroleva""], ""ORG"": [], ""LOC"": [""Russia""], ""MISC"": []}
```","```json
{
  ""PER"": [""Elena Koroleva""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Elena Koroleva""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.903,0.924,0.511
9. Ljudmila Dymchenko ( Russia ) 21.59,"{'PER': ['Ljudmila Dymchenko'], 'LOC': ['Russia']}","{""PER"": [""Ljudmila Dymchenko""], ""ORG"": [], ""LOC"": [""Russia""], ""MISC"": []}","```json
{
  ""PER"": [""Ljudmila Dymchenko""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Ljudmila Dymchenko""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.771,0.868,1.022
10. Katleen Allais ( France ) 21.58,"{'PER': ['Katleen Allais'], 'LOC': ['France']}","{""PER"": [""Katleen Allais""], ""ORG"": [], ""LOC"": [""France""], ""MISC"": []}","```json
{
  ""PER"": [""Katleen Allais""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Katleen Allais""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.026,1.122,0.823
SOCCER - ASIAN CUP GROUP C RESULTS .,{'MISC': ['ASIAN CUP']},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""SOCCER"", ""ASIAN CUP"", ""GROUP C""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""ASIA""],
  ""MISC"": [""ASIAN CUP"", ""GROUP C""]
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""ASIAN CUP GROUP C""]}
```",1,1,0,0.5,0.5,0.0,1.024,1.128,0.511
"AL-AIN , United Arab Emirates 1996-12-06","{'LOC': ['AL-AIN', 'United Arab Emirates']}","{""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.665,1.074,0.526
Results of Asian Cup group C matches played on Friday :,{'MISC': ['Asian Cup']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Asian Cup""], ""MISC"": [""group C"", ""Friday""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Asian Cup""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Asian Cup""],
  ""MISC"": []
}
```",1,1,1,0.5,1.0,1.0,0.91,0.976,0.563
Japan 2 Syria 1 ( halftime 0-1 ),"{'LOC': ['Japan', 'Syria']}","{""LOC"": [""Japan"", ""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,0.509,1.2,0.537
Scorers :,{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text ""Scorers :"" contains no named entities to extract. It appears to be a header or label with no specific names, organizations, locations, or miscellaneous entities mentioned.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.59,1.255,0.788
"Japan - Hassan Abbas 84 own goal , Takuya Takagi 88 .","{'PER': ['Hassan Abbas', 'Takuya Takagi'], 'LOC': ['Japan']}","{""PER"": [""Hassan Abbas"", ""Takuya Takagi""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": []}","```json
{
  ""PER"": [""Hassan Abbas"", ""Takuya Takagi""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Takuya Takagi""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.647,0.817,0.614
Syria - Nader Jokhadar 7,"{'PER': ['Nader Jokhadar'], 'LOC': ['Syria']}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.722,1.024,0.608
"Attendance : 10,000 .",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,0.579,0.918,0.755
China 0 Uzbekistan 2 ( halftime 0-0 ),"{'LOC': ['China', 'Uzbekistan']}","```json
{""LOC"": [""China"", ""Uzbekistan""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""China"",
    ""Uzbekistan""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.616,2.354,0.821
"Scorers : Shkvyrin Igor 78 , Shatskikh Oleg 90","{'PER': ['Shkvyrin Igor', 'Shatskikh Oleg']}","{""PER"": [""Shkvyrin Igor"", ""Shatskikh Oleg""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [""Shkvyrin Igor"", ""Shatskikh Oleg""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Shkvyrin Igor"",
    ""Shatskikh Oleg""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.023,0.818,0.613
"Attendence : 3,000",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.494,0.83,0.829
"Standings ( tabulate under played , won , drawn , lost , goals",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The provided text contains only generic column headers for a sports standings table and does not include any named entities (persons, organizations, locations, or miscellaneous entities).","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.51,1.228,0.616
"for , goals against , points ) :",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text contains only generic statistical terms (goals against, points) with no named entities to extract.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.716,1.434,0.512
Uzbekistan 1 1 0 0 2 0 3,{'LOC': ['Uzbekistan']},"{""LOC"": [""Uzbekistan""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Uzbekistan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.513,0.833,0.491
Japan 1 1 0 0 2 1 3,{'LOC': ['Japan']},"{""LOC"": [""Japan""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.519,0.706,0.829
Syria 1 0 0 1 1 2 0,{'LOC': ['Syria']},"{""LOC"": [""Syria""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.615,0.82,0.511
China 1 0 0 1 0 2 0,{'LOC': ['China']},"{""LOC"": [""China""], ""PER"": [], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China""],
  ""MISC"": []
}
```","{""PER"": [], ""ORG"": [], ""LOC"": [""China""], ""MISC"": []}",1,1,1,1.0,1.0,1.0,0.821,0.89,0.438
CRICKET - PAKISTAN V NEW ZEALAND ONE-DAY SCOREBOARD .,"{'LOC': ['PAKISTAN', 'NEW ZEALAND']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Pakistan"", ""New Zealand""], ""MISC"": [""Cricket"", ""One-Day""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""PAKISTAN"", ""NEW ZEALAND""],
  ""MISC"": [""CRICKET"", ""ONE-DAY""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""PAKISTAN"", ""NEW ZEALAND""],
  ""MISC"": [""CRICKET""]
}
```",1,1,1,0.6667,0.6667,0.8,0.923,1.125,0.614
[ CORRECTED 14:06 GMT ],{'MISC': ['GMT']},"{""MISC"": [""GMT""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""GMT""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""GMT""
  ]
}
```",1,1,1,1.0,1.0,1.0,0.721,0.734,0.805
"SIALKOT , Pakistan 1996-12-06","{'LOC': ['SIALKOT', 'Pakistan']}","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""SIALKOT"", ""Pakistan""], ""MISC"": []}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""SIALKOT"", ""Pakistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""SIALKOT"",
    ""Pakistan""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,0.916,1.066,0.776
Scoreboard in the second,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text ""Scoreboard in the second"" does not contain any named entities. It appears to be a fragment or partial sentence without specific person names, organization names, locations, or miscellaneous entities.","I'm sorry, but the text ""Scoreboard in the second"" does not contain any named entities that can be extracted. Therefore, I cannot provide a JSON object with extracted entities.",1,1,1,1.0,1.0,1.0,0.378,1.057,0.715
one-day cricket international between Pakistan and New Zealand,"{'LOC': ['Pakistan', 'New Zealand']}","{""PER"": [], ""ORG"": [], ""LOC"": [""Pakistan"", ""New Zealand""], ""MISC"": [""one-day cricket international""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Pakistan"", ""New Zealand""],
  ""MISC"": [""one-day cricket international""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Pakistan"", ""New Zealand""],
  ""MISC"": []
}
```",1,1,1,0.8,0.8,1.0,0.719,1.124,0.763
