article_snippet,reference_summary,openai_summary,anthropic_summary,gemini_summary,openai_latency_s,anthropic_latency_s,gemini_latency_s,openai_rougeL,anthropic_rougeL,gemini_rougeL
"(CNN)Just as mimeograph machines and photocopiers were in their day, online acti","Going online has become the path of least resistance if you want to make yourself heard .
But where there is the restrictive rule of law, journalists are vulnerable to the anger of officialdom .
From China to Malaysia, journalists and bloggers have been jailed -- even killed .","Online platforms have become crucial outlets for dissenting voices in authoritarian countries due to restricted access to traditional media, as seen in cases like Singapore's Amos Yee and Roy Ngerng, who face legal repercussions for their online criticisms. This trend is not limited to Singapore, with similar crackdowns occurring in Malaysia and China, where bloggers and journalists are frequently targeted and imprisoned for challenging government narratives.","# Summary

Online platforms have become vital alternatives to traditional media in authoritarian Asian countries, allowing dissident voices to bypass censorship, but governments respond with legal pressures and imprisonment. Singapore uses libel and defamation suits to silence critics like bloggers Amos Yee and Roy Ngerng, while Malaysia and China employ more severe measures, with China being the world's largest jailer of journalists and bloggers. Vietnam ranks second in Asia for imprisoning journalists, demonstrating how governments throughout the region are cracking down on online dissent despite its growing role as a medium for free expression.","Online platforms have become a crucial alternative to traditional media, especially in authoritarian countries where access is limited, allowing dissidents to voice their opinions. However, this freedom often comes with severe consequences, including legal action, financial penalties, and even imprisonment, as seen in cases like Amos Yee in Singapore and arrests of journalists in Malaysia and China. These governments frequently use defamation laws and other legal means to silence critical online voices, highlighting the risks involved in digital activism.",1.568,2.266,1.3,0.1607,0.1439,0.1452
"(CNN)When singer Avril Lavigne went missing from the music scene, there was tons","The singer had been off the scene for a while .
She says she was bedridden for months .
Lavigne was sometimes too weak to shower .","Avril Lavigne revealed that she was bedridden for five months due to Lyme disease, which she believes she contracted from a tick bite. The illness left her unable to breathe, talk, or move, and she recuperated at home with the help of her husband and mother. Now feeling ""80 percent better,"" Lavigne is releasing a new single and views her experience as a wake-up call to enjoy life more fully.","Avril Lavigne revealed that she was bedridden for five months after contracting Lyme disease from a tick bite, experiencing severe symptoms including difficulty breathing, talking, and moving. The Canadian singer spent months recovering at her Ontario home with support from her husband Chad Kroeger and mother while doctors initially struggled to diagnose her condition. Now declaring herself ""80 percent better,"" Lavigne is returning to music and says the illness has given her a new perspective on life.","After months of speculation regarding her absence from the music scene, Avril Lavigne has revealed she was battling Lyme disease. The singer was bedridden for five months, experiencing severe symptoms that left her feeling like she was dying. Now ""80 percent better,"" Lavigne is releasing new music and has a renewed appreciation for life.",1.149,1.971,0.874,0.1474,0.1386,0.2051
"(CNN)A trip to a former heavyweight champ's gaudy, abandoned mansion. The talles","Here are six of CNN's best videos of the week .
Clips include a look at Mike Tyson's abandoned mansion .","This week's top videos include a tour of Mike Tyson's former Ohio mansion, which is set to become a church, and a look at the Fury 325, the world's tallest and fastest giga-coaster in North Carolina. Additionally, CNN features an exclusive interview with a former student of Bikram Choudhury, who accuses him of sexual assault, and a witness account of the Germanwings Flight 9525 crash in the French Alps.","# Summary

This article highlights five viral videos from the week, including a tour of Mike Tyson's abandoned Ohio mansion, footage of the world's tallest and fastest roller coaster, a CNN exclusive interview with yoga instructor Bikram Choudhury's accusers, an eyewitness account of the Germanwings plane crash in the French Alps, and a debate on Indiana's religious freedom law featuring magician Penn Jillette.","This week's top videos include a tour of Mike Tyson's former opulent mansion, now slated to become a church, and a thrilling ride on the world's tallest and fastest ""giga-coaster,"" the Fury 325. Also featured are a dramatic interview with former students alleging sexual assault by Bikram yoga creator Bikram Choudhury, and a shepherd's eyewitness account of the Germanwings Flight 9525 crash.",1.351,2.356,0.92,0.1702,0.2299,0.1818
Washington (CNN)Israeli Prime Minister Benjamin Netanyahu criticized the deal si,"Netanyahu says third option is ""standing firm"" to get a better deal .
Political sparring continues in U.S. over the deal with Iran .","Israeli Prime Minister Benjamin Netanyahu criticized the nuclear deal with Iran, suggesting that increasing pressure could lead to a better agreement, rather than accepting what he calls a ""bad deal"" or resorting to war. While President Obama and some Democrats support the deal as a preferable alternative, Republicans and Netanyahu argue it leaves Iran with too much nuclear capability. The debate continues as negotiators work to finalize the agreement, with some U.S. politicians urging caution and further negotiation.","# Summary

Israeli Prime Minister Benjamin Netanyahu criticized the Iran nuclear deal framework agreed upon by six world powers, arguing it doesn't sufficiently dismantle Iran's nuclear program and claiming Iran cannot be trusted to comply. Netanyahu proposed a third option between accepting the deal or war: maintaining pressure on Iran until achieving better terms. The disagreement has sparked partisan debate in Washington, with Democrats defending the deal as a workable framework and Republicans arguing it grants Iran too much flexibility.","Israeli Prime Minister Benjamin Netanyahu criticized the Iran nuclear deal, arguing for a ""third alternative"" of increased pressure to secure a better agreement rather than accepting what he calls a ""bad deal"" or war. He believes the current framework leaves too much of Iran's nuclear infrastructure intact and that Iran cannot be trusted. Democrats and Republicans remain divided on the deal, with some Democrats urging Netanyahu to ""contain himself"" and Republicans largely opposing it.",3.124,1.993,0.921,0.1569,0.1538,0.2041
(CNN)Standing up for what you believe. What does it cost you? What do you gain? ,"Indiana town's Memories Pizza is shut down after online threat .
Its owners say they'd refuse to cater a same-sex couple's wedding .","Memories Pizza in Walkerton, Indiana, became embroiled in controversy after its owners stated they would refuse to cater a same-sex wedding, citing their religious beliefs. This sparked a heated debate over the state's Religious Freedom Restoration Act, leading to both calls for boycotts and significant financial support, with over $842,000 raised through a GoFundMe campaign. The situation highlighted the tensions between religious freedom and anti-discrimination, with social media playing a significant role in both the backlash and support for the pizzeria.","# Summary

Memories Pizza in Indiana faced intense backlash after its owners stated they would refuse to cater same-sex weddings, citing religious beliefs protected under the state's Religious Freedom Restoration Act. While critics called for boycotts and some made threats against the business, supporters launched a GoFundMe campaign that raised over $842,000 by the end of the week. The controversy highlights the deep divide over religious liberty versus discrimination protections in the newly enacted law.","Memories Pizza in Walkerton, Indiana, became the center of a national debate after its owners stated they would refuse to cater a same-sex wedding, citing the state's Religious Freedom Restoration Act. This stance sparked widespread criticism and calls for boycotts, with many accusing the business of discrimination. Conversely, supporters rallied behind the pizzeria, donating over $842,000 through a GoFundMe campaign, highlighting the deep divisions surrounding religious freedom and LGBTQ+ rights.",2.044,1.468,0.988,0.2364,0.2353,0.2653
"(CNN)Police in the Indian city of Malegaon, in the western state of Maharashtra,","Authorities in the Indian city of Malegaon have asked residents to take a 'mugshot' of their cattle .
Cows are revered by the majority Hindu population, and many parts of the country have laws banning the slaughter of cattle .
Officials in Malegaon believe this is the best way to solve cow slaughter cases and enforce the law .","In Malegaon, Maharashtra, police are requiring residents to submit photographs and detailed descriptions of their cattle to create a database aimed at enforcing a state-wide ban on beef consumption and cow slaughter. This initiative follows a recent cow slaughter case and is part of broader efforts in India to protect cows, which are considered sacred by Hindus. The ban has sparked protests from beef traders and consumers, with legal challenges anticipated.","# Summary

Police in Malegaon, India are requiring cattle owners to register their livestock with identity cards and photographs following a state-wide ban on beef sale and consumption, allowing authorities to track and investigate cow slaughter cases. Over 100 owners have already complied with the order, which can result in up to five years imprisonment for beef consumption or sale, sparking backlash from beef traders who staged a month-long strike and plan to challenge the law in court.","Following a state-wide ban on beef in Maharashtra, India, police in Malegaon are requiring residents to register their cattle with ""mugshots"" and unique identifying features. This initiative aims to create a database to enforce the new law and solve cow slaughter cases, which are now non-bailable offenses with potential five-year prison sentences. The ban has sparked controversy, with beef traders striking and vowing legal action, and consumers questioning government interference in personal choices.",2.247,2.151,1.013,0.2344,0.1926,0.2121
"(CNN)It's the kind of thing you see in movies, like Robert Redford's role in ""Al","A South Carolina man says he spent 66 days alone at sea before being rescued .
Other sole survivor stories include a Japanese man washed away by a tsunami .
An El Salvador man says he drifted from Mexico to Marshall Islands over a year .","The article discusses real-life survival stories of individuals stranded at sea for extended periods, highlighting the challenges they face and the ingenuity required to survive. It recounts the experiences of Louis Jordan, who survived by rationing water and catching fish after his boat capsized, and Jose Salvador Alvarenga, who drifted across the Pacific Ocean for over a year after a storm blew his boat off course. These stories emphasize the rarity and miraculous nature of such survival tales.","# Summary

The article explores rare cases of people surviving extended periods stranded at sea, contrasting Hollywood dramatizations with real-life survival stories. Two examples are highlighted: Louis Jordan, who survived his sailboat capsizing off the North Carolina coast by rationing water and catching fish with laundry, and Jose Salvador Alvarenga, who drifted across the Pacific Ocean for over a year after his fishing boat lost its engine. These exceptional cases of survival require ingenuity, resourcefulness, and luck, as they differ significantly from typical maritime rescues that occur within hours.","While many stories of being lost at sea end tragically, some individuals defy the odds through ingenuity, resourcefulness, and luck. Recent examples include Louis Jordan, who survived 66 days after his sailboat capsized multiple times by rationing water and catching fish, and Jose Salvador Alvarenga, who claims to have survived over a year adrift in the Pacific after a fishing trip went awry. These rare cases highlight the extraordinary human capacity for survival against seemingly insurmountable challenges.",2.67,1.946,1.124,0.1311,0.1364,0.15
(CNN)The world's biggest and most powerful physics experiment is taking place as,"The Large Hadron Collider (LHC) begins again after a two-year shutdown .
The restart was delayed in March .","The Large Hadron Collider (LHC), the world's largest and most powerful particle accelerator, has resumed operations after a two-year shutdown, with scientists at CERN successfully circulating the first beams in its 17-mile ring. The LHC aims to recreate conditions similar to those moments after the Big Bang to explore fundamental questions about the universe, such as the origin of mass, the nature of dark matter and energy, and the completeness of the Standard Model of particle physics. The project, which cost approximately $3.3 billion, is a collaborative effort involving thousands of scientists and contributions from various countries.","The Large Hadron Collider (LHC), the world's largest and most powerful physics experiment, has restarted after a two-year shutdown and began circulating its first beams following final tests. The massive particle accelerator aims to recreate conditions from moments after the Big Bang to help scientists understand the universe's origins and answer fundamental questions about mass, dark matter, and dark energy. The €3 billion machine generates up to 600 million particles per second and will eventually operate at record energy levels to unlock mysteries that current physics models cannot explain.","The Large Hadron Collider (LHC), the world's largest particle accelerator, has restarted after a two-year shutdown, with scientists at CERN successfully circulating beams. This massive experiment aims to recreate conditions from moments after the Big Bang to uncover mysteries about the universe's evolution, including the origin of mass, fundamental forces, and dark matter. Scientists hope to push the LHC to new record energy levels to expand beyond the current Standard Model of particle physics.",1.84,1.84,0.935,0.2017,0.2,0.2316
"Atlanta (CNN)It was a scene worthy of any top cop show on TV -- bullets flying, ","FBI agents and a suspected serial robber exchange gunfire in an FBI stakeout .
Two FBI agents are injured and the suspect is shot during the gunfight .","FBI agents captured Kevone Charleston, a suspect in 32 commercial robberies, after a dramatic confrontation in Forsyth County, Georgia. During the attempted arrest, Charleston tried to flee, leading to a car chase where he rammed several FBI vehicles, resulting in two agents being injured and Charleston being shot. The agents were treated and released, and Charleston's injuries are not life-threatening.","FBI agents apprehended 36-year-old Kevone Charleston on Saturday morning as he attempted to rob a CVS pharmacy in Georgia, ending an intensive investigation into 32 commercial robberies dating back to November 2013. During the arrest, Charleston rammed multiple FBI vehicles while fleeing, causing two agents to be injured in a crash, before he was shot and wounded in the median about 75 yards from the pharmacy. Charleston is now in custody with non-life-threatening injuries, and the two injured agents were treated and released from the hospital.","An armed robbery suspect, Kevone Charleston, was apprehended after a dramatic chase and confrontation with FBI agents in Forsyth County, Georgia. Charleston, suspected in 32 commercial robberies since 2013, was shot and wounded, while two FBI agents sustained injuries in a crash during the pursuit. The incident concluded an intensive investigation by the FBI's violent crimes and major offender squad.",3.366,1.732,0.931,0.2727,0.2241,0.2069
(CNN)Sky watchers in western North America are in for a treat: a nearly five-min,"The total eclipse will only last 4 minutes and 43 seconds .
People west of the Mississippi River will have the best view .
Parts of South America, India, China and Russia also will see the eclipse .","Sky watchers in western North America experienced a nearly five-minute total lunar eclipse, the shortest of the century, starting at 3:16 a.m. Pacific Daylight Time. The eclipse, visible as a ""blood moon"" due to Earth's atmosphere filtering out blue light, was best viewed west of the Mississippi River, with partial visibility across the nation and in parts of South America, India, China, and Russia. This event is part of a ""tetrad,"" a series of four consecutive lunar eclipses, with the next one occurring on September 28.","Western North America experienced a rare total lunar eclipse lasting just 4 minutes and 43 seconds—the shortest of the century—as the moon passed through Earth's shadow early in the morning. While the eclipse was best visible west of the Mississippi River, partial views were available across the nation, with portions of South America, India, China, and Russia also able to observe it. This eclipse is the third in a series of four consecutive lunar eclipses, known as a ""tetrad,"" with the final one occurring on September 28.","Sky watchers in western North America are experiencing a nearly five-minute total lunar eclipse this morning, the shortest of the century. The moon began moving into Earth's shadow at 3:16 a.m. Pacific Daylight Time, becoming fully engulfed at 4:58 a.m. Pacific Time, potentially appearing reddish due to Earth's atmosphere filtering blue light. This event is the third in a rare ""tetrad"" series of four consecutive lunar eclipses.",1.531,1.534,1.125,0.272,0.384,0.1284
(CNN)The terrorist group Al-Shabaab has claimed an attack on Garissa University ,"Terrorist group Al-Shabaab has attacked a Kenyan college, killing and taking hostages .
It is a clear indicator the security situation in East Africa is deteriorating, says Stefan Wolff .
More than military action aloe is needed to combat terrorism in the region, he says .","Al-Shabaab has claimed responsibility for a deadly attack on Garissa University College in Kenya, highlighting the escalating threat posed by the group in East Africa. This attack is part of a series of violent incidents by the Somalia-based militant group, which has been active in Kenya since 2011 and is known for its radical Islamist ideology and opportunistic tactics. The group's activities are part of a broader regional instability, influenced by its historical roots and evolving alliances with other extremist organizations like al-Qaeda.","# Summary

Al-Shabaab claimed responsibility for an attack on Garissa University College in Kenya, marking another escalation in the terrorist group's campaign against the country and indicating a deteriorating security situation in East Africa. The Somalia-based militant organization, which is aligned with al-Qaeda and has roots in the Somali civil war, has conducted a series of attacks in Kenya since 2011, including the 2013 Westgate Shopping Centre massacre. The group's expansion beyond Somalia is part of a broader regional instability driven by various factors, including Ethiopia's military intervention and the group's evolution into both an Islamist and nationalist force.","Al-Shabaab, a Somalia-based terrorist group, claimed responsibility for an attack on Garissa University College in Kenya, resulting in numerous casualties and hostages. This attack signifies a worsening security situation in East Africa, as Al-Shabaab has been responsible for a string of recent attacks in Kenya, including the 2013 Westgate Shopping Centre massacre. The group, driven by a radical interpretation of the Koran and opportunistic tactics, has evolved from its origins in the Somali civil war to become a regional threat, expanding its attacks beyond Somalia and aligning with al-Qaeda.",3.114,2.002,1.177,0.1985,0.2013,0.219
"(CNN)Easter is a cornerstone event in the Christian faith, but it's surrounded b","Easter is a key event in the Christian faith, but where did the Easter Bunny come from?
Why is the date different every year, and what does it have to do with the moon?","Easter, a central event in Christianity, commemorates Christ's crucifixion and resurrection, symbolizing salvation and victory over death. The holiday, unlike Christmas, varies annually based on cosmic events, and is marked by both religious observances and secular traditions like the Easter bunny and colorful eggs. Celebrations span globally, with the Vatican hosting Holy Week events, while different Christian denominations, such as Eastern Orthodox Christians, observe Easter on varying dates due to calendar differences.","# Summary

Easter, which celebrates Christ's Crucifixion and Resurrection, is a cornerstone Christian holiday that falls on different dates each year based on astronomical calculations rather than a fixed calendar date. The holiday has accumulated secular traditions like the Easter bunny and colored eggs, and is celebrated across Christian communities worldwide, though Eastern Orthodox and Western churches observe it on different dates due to using different calendars. Pope Francis marked the occasion with services at the Vatican and messages calling for peace in global conflicts.","Easter is a central Christian holiday celebrating Christ's crucifixion and resurrection, but its date varies annually due to astronomical factors. While Western Christians celebrated Easter Sunday, marked by Pope Francis's address and services in Jerusalem, Eastern Orthodox Christians will observe it a week later, following the Julian calendar. The holiday has also accumulated secular traditions like the Easter bunny and colorful eggs.",2.095,2.557,0.822,0.2056,0.2185,0.1837
"(CNN)After years of making the case that the education of athletes is paramount,","In response to lawsuit, NCAA says it doesn't control quality of education for student-athletes .
But its website emphasizes importance of education, ""opportunities to learn""
Lawsuit claims students didn't get an education because of academic fraud at UNC .","The NCAA has stated it has no legal responsibility to ensure the academic integrity of courses offered to student-athletes, despite its public commitment to prioritize education. This stance was revealed in response to a lawsuit by former University of North Carolina athletes involved in an academic fraud scandal, where athletes were enrolled in non-existent classes to maintain sports eligibility. Critics argue that the NCAA's position contradicts its stated principles of prioritizing academics for student-athletes.","# Summary

The NCAA is contradicting its own public messaging by arguing in court that it has no legal responsibility to ensure student-athletes receive a quality education, despite prominently stating that education is paramount and students come before athletes. The position comes in response to a lawsuit from University of North Carolina athletes who claim they didn't receive an education due to a massive academic fraud scandal, which the NCAA compares to how bar and medical associations aren't liable for individual professional misconduct. Critics argue the NCAA's stance is hypocritical given its extensive academic standards and eligibility systems designed to oversee member institutions.","The NCAA is facing criticism for asserting it has no legal responsibility to ensure the education of student-athletes, despite its public commitment to their academic success. This stance comes in response to a lawsuit from former University of North Carolina athletes who claim they were denied an education due to an academic fraud scandal. Critics argue this position contradicts the NCAA's stated core principles and its role in setting academic standards for member institutions.",2.659,2.353,1.332,0.2034,0.2192,0.2241
(CNN)A Connecticut teen who has been forced to have chemotherapy to treat Hodgki,"Judge won't allow teen leave hospital before her last chemotherapy treatment .
Attorneys for the teen are deciding whether to appeal .
Cassandra C. is now in remission and is no longer opposed to the chemotherapy treatments .","A Connecticut juvenile court judge has denied a motion to allow 17-year-old Cassandra C., who is in remission from Hodgkin lymphoma after forced chemotherapy, to return home, keeping her in state custody. Despite being in good health and nearing the end of her treatment, her attorneys are considering further legal action, arguing she is mature enough to make her own medical decisions. The Connecticut Department of Children and Families maintains custody, citing confidence in the medical professionals' success in treating her.","A Connecticut teenager identified as ""Cassandra C."" who was forced into chemotherapy treatment for Hodgkin lymphoma must remain in state custody, according to a judge's decision denying her release to her mother's home. The 17-year-old is now in remission after nearly six months of forced chemotherapy treatments and her attorney argues she is no longer at imminent risk of harm. Her legal team plans to consider whether to appeal the ruling, expressing disappointment that the judge's decision contradicts medical evidence about her current health status.","A Connecticut teen, ""Cassandra C.,"" diagnosed with Hodgkin lymphoma, will remain in state custody despite being in remission after forced chemotherapy. Her attorney's motion to allow her to return home and for visitation was denied by a juvenile court judge. Cassandra initially resisted treatment, leading to state intervention, but is now reportedly feeling well and willing to complete her remaining treatment.",2.553,1.92,1.05,0.1849,0.2222,0.2041
"(CNN)Mark Ronson's ""Uptown Funk!,"" featuring Bruno Mars, is the longest-leading ","The song rules the chart for 13th week .
It passes Robin Thicke's ""Blurred Lines""
Song three weeks from potentially tying ""One Sweet Day"" for record .","Mark Ronson's ""Uptown Funk!,"" featuring Bruno Mars, has become the longest-leading Billboard Hot 100 hit of the 2010s, maintaining the top spot for 13 weeks. It joins an elite group of only 10 singles in the chart's history to achieve at least 13 weeks at No. 1. Meanwhile, newcomer Natalie La Rose has entered the top 10 with her debut hit ""Somebody,"" featuring Jeremih.","Mark Ronson's ""Uptown Funk!"" featuring Bruno Mars has spent 13 weeks at No. 1 on the Billboard Hot 100, making it the longest-leading hit of the 2010s and just the 10th single in chart history to spend at least 13 weeks at the top. The song continues to dominate across all major metrics including digital downloads, streaming, and radio play, putting it just three weeks away from potentially tying the all-time record held by Mariah Carey and Boyz II Men's ""One Sweet Day.""","Mark Ronson's ""Uptown Funk!,"" featuring Bruno Mars, has become the longest-leading Billboard Hot 100 song of the 2010s, holding the top spot for 13 weeks. This achievement also places it among only ten singles in the Hot 100's entire history to spend at least 13 weeks at No. 1. The song continues to dominate across digital sales, streaming, and radio airplay, raising questions about its potential to break further chart records.",1.281,1.684,1.004,0.1505,0.2301,0.2
(CNN)A high temperature of 63.5 degrees Fahrenheit might sound like a pleasant d,"High temperatures are recorded on the northern tip of the Antarctica Peninsula .
The World Meteorological Organization will make the final determination .","Antarctica recorded a potentially record-breaking high temperature of 63.5 degrees Fahrenheit (15.5 degrees Celsius) at Argentina's Esperanza Base, prompting the World Meteorological Organization to form a committee to verify the measurement's accuracy. This unusual temperature spike is being closely monitored by climate researchers as part of ongoing studies into global warming.","Antarctica recorded a temperature of 63.5 degrees Fahrenheit (15.5 degrees Celsius) on March 24 at Argentina's Esperanza Base, possibly the highest ever recorded on the continent. The World Meteorological Organization has established an international committee of climatologists and meteorologists to verify the measurement by examining the equipment, procedures, and supporting data from nearby stations, with an official finding expected by late summer or early fall. Climate researchers closely monitor such temperature records in Antarctica as potential evidence of global warming.",Antarctica recorded a potential record-high temperature of 63.5 degrees Fahrenheit (15.5 degrees Celsius) on March 24 at Argentina's Esperanza Base. The World Meteorological Organization is forming a committee of experts to verify the measurement by examining the equipment and procedures used. This event is significant for climate change researchers who monitor Antarctic weather for evidence of global warming.,1.753,1.74,1.229,0.2078,0.1731,0.1928
(CNN)The United States has seemingly erupted this week about what it means to li,"A Native American from a tribe not recognized by the feds wins the return of his eagle feathers .
An IRS accountant is fired for insisting on carrying a symbolic Sikh knife to work .
A group of Chicago pastors takes on City Hall over its permits for new churches and loses .","The United States is experiencing significant debate over the implications of the Religious Freedom Restoration Act (RFRA), particularly in Indiana, where critics argue it could enable discrimination against gay individuals under the guise of religious freedom. While 20 states have adopted similar laws since the federal RFRA was enacted in 1993, legal challenges have primarily involved religious minorities rather than mainstream Christian denominations. A notable case involves Robert Soto, a Native American who successfully appealed a federal ruling that confiscated his sacred eagle feathers, highlighting ongoing legal tensions surrounding religious rights and federal regulations.","# Summary

Indiana's new Religious Freedom Restoration Act has sparked national debate about whether such laws protect religious practice or enable discrimination against LGBTQ individuals, following a trend of 20 states adopting similar statutes since the federal Religious Freedom Restoration Act was enacted in 1993. Despite widespread controversy, legal experts note that claims under these state laws are ""exceedingly rare,"" with most successful cases involving religious minorities rather than Christian denominations. The article highlights a landmark case where Native American Robert Soto successfully challenged the federal government to return sacred eagle feathers confiscated at a powwow, demonstrating how religious freedom laws can protect genuine religious practices.","The United States is currently debating the implications of religious freedom laws, particularly in Indiana, where a new Religious Freedom Restoration Act (RFRA) is criticized for potentially enabling discrimination against gay individuals. These state-level RFRAs, inspired by a 1993 federal law, aim to protect religious exercise but have sparked controversy and legal challenges. Despite their growing number, experts question their effectiveness, noting that claims under these laws are rare and often involve religious minorities rather than dominant Christian denominations.",3.033,2.289,1.095,0.1111,0.1026,0.1231
"Atlanta (CNN)Robert Lewis Burns Jr., the original drummer in Southern rock band ","Robert Lewis Burns Jr. was part of Lynyrd Skynyrd's original lineup .
His car hit a mailbox and a tree just before midnight .","Robert Lewis Burns Jr., the original drummer for Lynyrd Skynyrd, died in a car crash in Cartersville, Georgia, at the age of 64. Burns was part of the band's original lineup, which formed in 1965, and contributed to their early success before leaving in 1975. The band, known for hits like ""Sweet Home Alabama"" and ""Freebird,"" was inducted into the Rock and Roll Hall of Fame in 2006.","Robert Lewis Burns Jr., the original drummer of Southern rock band Lynyrd Skynyrd, died Friday night in a single-car crash in Cartersville, Georgia at age 64. Burns was part of the band's original lineup formed in Jacksonville, Florida in 1965, though he left before their third album in 1975. Gary Rossington, the only surviving original member, paid tribute to Burns as ""a funny guy"" and ""a great great drummer.""","Robert Lewis Burns Jr., the original drummer for Lynyrd Skynyrd, died Friday night at 64 in a single-car crash in Cartersville, Georgia. Burns, who was not restrained, hit a mailbox and a tree. He was a founding member of the iconic Southern rock band, known for hits like ""Sweet Home Alabama"" and ""Freebird,"" before leaving in 1975 due to touring exhaustion.",1.564,2.151,1.228,0.2609,0.2766,0.3294
"Seoul, South Korea (CNN)The man accused of stabbing U.S. Ambassador Mark Lippert","Kim Ki-Jong is charged with attempted murder and assaulting a foreign envoy .
He's accused of stabbing U.S. Ambassador Mark Lippert in the face and arm .
Police said Kim opposed the joint U.S.-South Korean military drills .","Kim Ki-Jong has been charged with attempted murder, assaulting a foreign envoy, and business obstruction after stabbing U.S. Ambassador Mark Lippert in Seoul. The attack, which occurred during an event promoting peaceful reunification between North and South Korea, left Lippert with significant injuries requiring 80 stitches. Authorities are investigating potential links between Kim's visits to North Korea and his opposition to joint South Korean-U.S. military drills as motives for the attack.","Kim Ki-Jong has been charged with attempted murder, assaulting a foreign envoy, and business obstruction for stabbing U.S. Ambassador Mark Lippert in Seoul on March 5. Lippert suffered serious facial wounds requiring 80 stitches and cuts to his arm, but is expected to recover without permanent damage. Police believe Kim, who has a history of violence and visited North Korea seven times, was motivated by opposition to joint South Korean-U.S. military drills.","Kim Ki-Jong has been charged with attempted murder, assaulting a foreign envoy, and business obstruction for stabbing U.S. Ambassador Mark Lippert in Seoul. Lippert sustained severe facial and arm injuries in the attack, which police say Kim carried out due to his opposition to joint South Korean-U.S. military drills. Authorities are also investigating a possible connection between Kim's past visits to North Korea and the assault.",1.842,1.842,0.925,0.4483,0.4655,0.4865
(CNN)When Hong Kong police answered a call in the early hours of a Saturday morn,"Hong Kong banker alleged murder case adjourned until May .
The 29-year-old Rurik Jutting is accused of killing two Indonesian domestic workers .","Rurik Jutting, a former banker from Britain, has been charged with the murder of two women in Hong Kong, Seneng Mujiasih and Sumarti Ningsih, whose bodies were found in his apartment. The case, which has shocked the city, involves allegations that Jutting called the police to the scene where Mujiasih was found with injuries and Ningsih's body was discovered in a suitcase. The court hearing to determine if there is enough evidence for a trial has been postponed until May.","A 29-year-old British former banker, Rurik Jutting, has been charged with two counts of murder in Hong Kong after police discovered two Indonesian women dead in his apartment in November—one on the floor with neck and buttock wounds and another stuffed in a suitcase on the balcony. The victims were identified as 29-year-old Seneng Mujiasih and 25-year-old Sumarti Ningsih, both from Indonesia, with the latter being a mother of a five-year-old child. A court hearing to determine if there is sufficient evidence to proceed to trial has been adjourned until May.","In November, Hong Kong police discovered two deceased women, Seneng Mujiasih and Sumarti Ningsih, in an upscale apartment after being called by British banker Rurik Jutting. Mujiasih was found with neck and buttock wounds, while Ningsih's body was hidden in a suitcase on the balcony, allegedly killed five days prior. Jutting has been charged with two counts of murder, and a court hearing to determine if there's enough evidence for trial has been adjourned.",3.313,1.978,1.359,0.1154,0.1301,0.1414
"(CNN)""Jake the dog and Finn the human. The fun will never end. Adventure Time."" ","Thai Airways subsidiary Thai Smile features Cartoon Network paint job on A320 jet .
Overhead bins, head rests and air sick bags feature characters from Cartoon Network .","Thai Smile, a subsidiary of Thai Airways, has unveiled a new Adventure Time-themed Airbus A320, featuring characters like Jake, Finn, and Princess Bubblegum, at Bangkok's Suvarnabhumi International Airport. This collaboration with Cartoon Network Amazone, a water park in Pattaya, extends the theme to the plane's interior, including overhead bins and air sickness bags. The inaugural flight is scheduled for April 4, traveling from Bangkok to Phuket.","Thai Smile Airways unveiled a new Airbus A320 decorated with characters from the popular Cartoon Network show ""Adventure Time,"" featuring Jake, Finn, and Princess Bubblegum on its exterior and themed interior elements. The plane is part of a partnership with Cartoon Network Amazone, a new water park in Pattaya, Thailand, with its inaugural flight scheduled for April 4 between Bangkok and Phuket.","Thai Smile, a subsidiary of Thai Airways, has unveiled a new ""Adventure Time""-themed Airbus A320, featuring characters like Jake, Finn, and Princess Bubblegum on both its exterior and interior. This collaboration with Cartoon Network Amazone, a water park, allows fans to experience the popular show in the skies. The inaugural flight is scheduled for April 4, traveling from Bangkok to Phuket.",1.226,1.534,1.126,0.2737,0.1818,0.1818
(CNN)Imprisoned soldier Chelsea Manning can now communicate with the world  -- i,"Manning is serving a 35-year sentence for leaking thousands of classified documents .
She says she will be using a voice phone to dictate her tweets .","Chelsea Manning, serving a 35-year sentence for leaking classified documents, has joined Twitter, using a communications firm to post tweets on her behalf due to lack of internet access in prison. Manning, who transitioned to female and is receiving hormone therapy, aims to engage in two-way conversations with her followers. Convicted of the largest leak of classified material in U.S. history, she continues to express her views through opinion pieces in major publications.","Chelsea Manning, imprisoned for leaking classified documents to WikiLeaks, has started using Twitter by dictating tweets via phone to a communications firm, though she remains without direct internet access in prison. Manning, who is serving a 35-year sentence and is transgender, has nearly 26,000 followers and intends to use the platform for two-way communication with the public. She has previously contributed opinion pieces to major publications while incarcerated.","Chelsea Manning, imprisoned for leaking classified documents, has reportedly joined Twitter, with a communications firm posting her dictated tweets due to her lack of internet access. Manning, who is serving a 35-year sentence and is undergoing hormone therapy for gender dysphoria, aims for an interactive Twitter presence despite the challenges. She was convicted in 2013 for disseminating 750,000 pages of documents to WikiLeaks.",2.143,2.254,0.922,0.2745,0.2062,0.2418
