text,true_entities,openai_response,anthropic_response,gemini_response,openai_correct,anthropic_correct,gemini_correct,openai_precision,anthropic_precision,gemini_precision,openai_recall,anthropic_recall,gemini_recall,openai_f1,anthropic_f1,gemini_f1,openai_latency_s,anthropic_latency_s,gemini_latency_s
"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura ","{'PER': ['Bitar', 'Kazuyoshi Miura', 'Takagi']}","```json
{""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar"", ""Kazuyoshi Miura"", ""Takagi""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Bitar"",
    ""Kazuyoshi Miura"",
    ""Takagi""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.922,0.937
"Bitar saved well again from Miura in the 37th minute , parrying away his header ","{'PER': ['Bitar', 'Miura']}","```json
{""PER"": [""Bitar"", ""Miura""], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```","```json
{
  ""PER"": [""Bitar"", ""Miura""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Bitar"", ""Miura""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.698,1.434,0.686
Japan started the second half brightly but Bitar denied them an equaliser when h,"{'PER': ['Bitar', 'Naoki Soma'], 'LOC': ['Japan']}","{""PER"": [""Bitar"", ""Naoki Soma""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": []}","```json
{
  ""PER"": [""Bitar"", ""Naoki Soma""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Bitar"", ""Naoki Soma""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.846,0.858,0.578
"Japan : 19 - Kenichi Shimokawa , 2 - Hiroshige Yanagimoto , 3 - Naoki Soma , 4 -","{'PER': ['Kenichi Shimokawa', 'Hiroshige Yanagimoto', 'Naoki Soma', 'Masami Ihara', 'Norio Omura', 'Motohiro Yamaguchi', 'Masakiyo Maezono', 'Yasuto Honda', 'Takuya Takagi', 'Hiroshi Nanami', 'Kazuyoshi Miura', 'Hiroaki Morishima', 'Masayuki Okano'], 'LOC': ['Japan']}","```json
{
  ""PER"": [
    ""Kenichi Shimokawa"",
    ""Hiroshige Yanagimoto"",
    ""Naoki Soma"",
    ""Masami Ihara"",
    ""Norio Omura"",
    ""Motohiro Yamaguchi"",
    ""Masakiyo Maezono"",
    ""Yasuto Honda"",
    ""Takuya Takagi"",
    ""Hiroshi Nanami"",
    ""Kazuyoshi Miura"",
    ""Hiroaki Morishima"",
    ""Masayuki Okano""
  ],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Kenichi Shimokawa"",
    ""Hiroshige Yanagimoto"",
    ""Naoki Soma"",
    ""Masami Ihara"",
    ""Norio Omura"",
    ""Motohiro Yamaguchi"",
    ""Masakiyo Maezono"",
    ""Yasuto Honda"",
    ""Takuya Takagi"",
    ""Hiroshi Nanami"",
    ""Kazuyoshi Miura"",
    ""Hiroaki Morishima"",
    ""Masayuki Okano","```json
{
  ""PER"": [
    ""Kenichi Shimokawa"",
    ""Hiroshige Yanagimoto"",
    ""Naoki Soma"",
    ""Masami Ihara"",
    ""Norio Omura"",
    ""Motohiro Yamaguchi"",
    ""Masakiyo Maezono"",
    ""Yasuto Honda"",
    ""Takuya Takagi"",
    ""Hiroshi Nanami"",
    ""Kazuyoshi Miura"",
    ""Hiroaki Morishima"",
    ""Masayuki Okano""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Japan""
  ],
  ""MISC"": []",1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.334,1.075,1.277
"Syria : 24 - Salem Bitar , 3 - Bachar Srour ; 4 - Hassan Abbas , 5 - Tarek Jabba","{'PER': ['Salem Bitar', 'Bachar Srour', 'Hassan Abbas', 'Tarek Jabban', 'Ammar Awad', 'Louay Taleb', 'Nihad al-Boushi', 'Mohammed Afash', 'Ali Dib', 'Abdul Latif Helou', 'Ammar Rihawiy', 'Khaled Zaher', 'Nader Jokhadar'], 'LOC': ['Syria']}","```json
{
    ""PER"": [
        ""Salem Bitar"",
        ""Bachar Srour"",
        ""Hassan Abbas"",
        ""Tarek Jabban"",
        ""Ammar Awad"",
        ""Louay Taleb"",
        ""Nihad al-Boushi"",
        ""Mohammed Afash"",
        ""Ali Dib"",
        ""Abdul Latif Helou"",
        ""Ammar Rihawiy"",
        ""Khaled Zaher"",
        ""Nader Jokhadar""
    ],
    ""ORG"": [],
    ""LOC"": [""Syria""],
    ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Salem Bitar"",
    ""Bachar Srour"",
    ""Hassan Abbas"",
    ""Tarek Jabban"",
    ""Ammar Awad"",
    ""Louay Taleb"",
    ""Nihad al-Boushi"",
    ""Mohammed Afash"",
    ""Ali Dib"",
    ""Abdul Latif Helou"",
    ""Ammar Rihawiy"",
    ""Khaled Zaher"",
    ""Nader Jokhadar""
  ],
  ""ORG"": [],","```json
{
  ""PER"": [
    ""Salem Bitar"",
    ""Bachar Srour"",
    ""Hassan Abbas"",
    ""Tarek Jabban"",
    ""Ammar Awad"",
    ""Louay Taleb"",
    ""Nihad al-Boushi"",
    ""Mohammed Afash"",
    ""Ali Dib"",
    ""Abdul Latif Helou"",
    ""Ammar Rihawiy"",
    ""Khaled Zaher"",
    ""Nader Jokhadar""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Syria""
  ],
  ""MISC"": []",1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.541,1.224,0.921
FREESTYLE SKIING-WORLD CUP MOGUL RESULTS .,{'MISC': ['SKIING-WORLD CUP']},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""FREESTYLE SKIING"", ""WORLD CUP"", ""MOGUL""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""FREESTYLE SKIING"", ""WORLD CUP"", ""MOGUL""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""FREESTYLE SKIING"",
    ""WORLD CUP MOGUL""
  ]
}
```",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.836,0.907,0.816
"TIGNES , France 1996-12-06","{'LOC': ['TIGNES', 'France']}","{""LOC"": [""Tignes"", ""France""], ""MISC"": [""1996-12-06""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""TIGNES"", ""France""],
  ""MISC"": []
}
```","{""PER"": [], ""ORG"": [], ""LOC"": [""TIGNES"", ""France""], ""MISC"": []}",1,1,1,0.6667,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.683,0.806,0.574
Results of the World Cup,{'MISC': ['World Cup']},"{""MISC"": [""World Cup""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""World Cup""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""World Cup""]
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819,1.009,0.717
freestyle skiing moguls competition on Friday :,{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""freestyle skiing moguls""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""freestyle skiing moguls""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""freestyle skiing moguls competition""
  ]
}
```",0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.732,0.804,0.642
Men,{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text ""Men"" is a common noun and does not contain any named entities.","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.73,0.834
1. Jesper Ronnback ( Sweden ) 25.76 points,"{'PER': ['Jesper Ronnback'], 'LOC': ['Sweden']}","```json
{""PER"": [""Jesper Ronnback""], ""ORG"": [], ""LOC"": [""Sweden""], ""MISC"": []}
```","```json
{
  ""PER"": [""Jesper Ronnback""],
  ""ORG"": [],
  ""LOC"": [""Sweden""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Jesper Ronnback""
  ],
  ""ORG"": [],
  ""LOC"": [
    ""Sweden""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.814,1.128,0.716
2. Andrei Ivanov ( Russia ) 24.88,"{'PER': ['Andrei Ivanov'], 'LOC': ['Russia']}","```json
{""PER"": [""Andrei Ivanov""], ""ORG"": [], ""LOC"": [""Russia""], ""MISC"": []}
```","```json
{
  ""PER"": [""Andrei Ivanov""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Andrei Ivanov""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.781,0.782,1.016
3. Ryan Johnson ( Canada ) 24.57,"{'PER': ['Ryan Johnson'], 'LOC': ['Canada']}","```json
{""PER"": [""Ryan Johnson""], ""ORG"": [], ""LOC"": [""Canada""], ""MISC"": []}
```","```json
{
  ""PER"": [""Ryan Johnson""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Ryan Johnson""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.802,0.73,0.6
4. Jean-Luc Brassard ( Canada ) 24.40,"{'PER': ['Jean-Luc Brassard'], 'LOC': ['Canada']}","{""PER"": [""Jean-Luc Brassard""], ""LOC"": [""Canada""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Jean-Luc Brassard""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Jean-Luc Brassard""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.718,1.012,0.624
5. Korneilus Hole ( Norway ) 23.92,"{'PER': ['Korneilus Hole'], 'LOC': ['Norway']}","{""PER"": [""Korneilus Hole""], ""ORG"": [], ""LOC"": [""Norway""], ""MISC"": []}","```json
{
  ""PER"": [""Korneilus Hole""],
  ""ORG"": [],
  ""LOC"": [""Norway""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Korneilus Hole""],
  ""ORG"": [],
  ""LOC"": [""Norway""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.085,1.265,0.716
6. Jeremie Collomb-Patton ( France ) 23.87,"{'PER': ['Jeremie Collomb-Patton'], 'LOC': ['France']}","{""PER"": [""Jeremie Collomb-Patton""], ""ORG"": [], ""LOC"": [""France""], ""MISC"": []}","```json
{
  ""PER"": [""Jeremie Collomb-Patton""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Jeremie Collomb-Patton""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,1.205,0.92
7. Jim Moran ( U.S. ) 23.25,"{'PER': ['Jim Moran'], 'LOC': ['U.S.']}","{""PER"": [""Jim Moran""], ""LOC"": [""U.S.""]}","```json
{
  ""PER"": [""Jim Moran""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Jim Moran""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736,1.416,0.615
8. Dominick Gauthier ( Canada ) 22.73,"{'PER': ['Dominick Gauthier'], 'LOC': ['Canada']}","{""PER"": [""Dominick Gauthier""], ""ORG"": [], ""LOC"": [""Canada""], ""MISC"": []}","```json
{
  ""PER"": [""Dominick Gauthier""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Dominick Gauthier""],
  ""ORG"": [],
  ""LOC"": [""Canada""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.816,1.246,0.695
9. Johann Gregoire ( France ) 22.58,"{'PER': ['Johann Gregoire'], 'LOC': ['France']}","{""PER"": [""Johann Gregoire""], ""LOC"": [""France""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Johann Gregoire""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Johann Gregoire""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.924,0.817,0.921
10. Troy Benson ( U.S. ) 22.56,"{'PER': ['Troy Benson'], 'LOC': ['U.S.']}","{""PER"": [""Troy Benson""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}","```json
{
  ""PER"": [""Troy Benson""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Troy Benson""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.048,0.797,0.612
Women,{},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""Women""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""Women""]
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": []}
```",0,0,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.028,1.034,0.454
1. Tatjana Mittermayer ( Germany ) 24.32,"{'PER': ['Tatjana Mittermayer'], 'LOC': ['Germany']}","```json
{""PER"": [""Tatjana Mittermayer""], ""ORG"": [], ""LOC"": [""Germany""], ""MISC"": []}
```","```json
{
  ""PER"": [""Tatjana Mittermayer""],
  ""ORG"": [],
  ""LOC"": [""Germany""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Tatjana Mittermayer""],
  ""ORG"": [],
  ""LOC"": [""Germany""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.759,1.13,0.613
2. Candice Gilg ( France ) 24.31,"{'PER': ['Candice Gilg'], 'LOC': ['France']}","{""PER"": [""Candice Gilg""], ""ORG"": [], ""LOC"": [""France""], ""MISC"": []}","```json
{
  ""PER"": [""Candice Gilg""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Candice Gilg""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.729,0.806,0.51
3. Minna Karhu ( Finland ) 24.05,"{'PER': ['Minna Karhu'], 'LOC': ['Finland']}","```json
{""PER"": [""Minna Karhu""], ""ORG"": [], ""LOC"": [""Finland""], ""MISC"": []}
```","```json
{
  ""PER"": [""Minna Karhu""],
  ""ORG"": [],
  ""LOC"": [""Finland""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Minna Karhu""],
  ""ORG"": [],
  ""LOC"": [""Finland""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.074,2.251,1.078
4. Tae Satoya ( Japan ) 23.75,"{'PER': ['Tae Satoya'], 'LOC': ['Japan']}","{""PER"": [""Tae Satoya""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": []}","```json
{
  ""PER"": [""Tae Satoya""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Tae Satoya""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.134,1.021,0.716
5. Ann Battellle ( U.S. ) 23.56,"{'PER': ['Ann Battellle'], 'LOC': ['U.S.']}","```json
{""PER"": [""Ann Battelle""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}
```","```json
{
  ""PER"": [""Ann Battellle""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Ann Battellle""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [""U.S.""]
}
```",1,1,1,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.712,0.82,0.513
6. Donna Weinbrecht ( U.S. ) 22.48,"{'PER': ['Donna Weinbrecht'], 'LOC': ['U.S.']}","{""PER"": [""Donna Weinbrecht""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}","```json
{
  ""PER"": [""Donna Weinbrecht""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Donna Weinbrecht""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.716,1.023,0.821
7. Liz McIntyre ( U.S. ) 22.00,"{'PER': ['Liz McIntyre'], 'LOC': ['U.S.']}","{""PER"": [""Liz McIntyre""], ""ORG"": [], ""LOC"": [""U.S.""], ""MISC"": []}","```json
{
  ""PER"": [""Liz McIntyre""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Liz McIntyre""],
  ""ORG"": [],
  ""LOC"": [""U.S.""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.026,0.759,0.774
8. Elena Koroleva ( Russia ) 21.77,"{'PER': ['Elena Koroleva'], 'LOC': ['Russia']}","```json
{""PER"": [""Elena Koroleva""], ""ORG"": [], ""LOC"": [""Russia""], ""MISC"": []}
```","```json
{
  ""PER"": [""Elena Koroleva""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Elena Koroleva""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.805,0.832,0.615
9. Ljudmila Dymchenko ( Russia ) 21.59,"{'PER': ['Ljudmila Dymchenko'], 'LOC': ['Russia']}","{""PER"": [""Ljudmila Dymchenko""], ""LOC"": [""Russia""], ""ORG"": [], ""MISC"": []}","```json
{
  ""PER"": [""Ljudmila Dymchenko""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Ljudmila Dymchenko""],
  ""ORG"": [],
  ""LOC"": [""Russia""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.819,0.819,0.818
10. Katleen Allais ( France ) 21.58,"{'PER': ['Katleen Allais'], 'LOC': ['France']}","{""PER"": [""Katleen Allais""], ""ORG"": [], ""LOC"": [""France""], ""MISC"": []}","```json
{
  ""PER"": [""Katleen Allais""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Katleen Allais""],
  ""ORG"": [],
  ""LOC"": [""France""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.031,1.035,0.817
SOCCER - ASIAN CUP GROUP C RESULTS .,{'MISC': ['ASIAN CUP']},"{""PER"": [], ""ORG"": [], ""LOC"": [], ""MISC"": [""SOCCER"", ""ASIAN CUP"", ""GROUP C""]}","```json
{
  ""PER"": [],
  ""ORG"": [""ASIAN CUP""],
  ""LOC"": [],
  ""MISC"": [""SOCCER"", ""GROUP C""]
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": [
    ""SOCCER"",
    ""ASIAN CUP GROUP C""
  ]
}
```",1,1,0,0.3333,0.3333,0.0,1.0,1.0,0.0,0.5,0.5,0.0,1.111,6.693,0.991
"AL-AIN , United Arab Emirates 1996-12-06","{'LOC': ['AL-AIN', 'United Arab Emirates']}","{""LOC"": [""AL-AIN"", ""United Arab Emirates""]}","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""AL-AIN"", ""United Arab Emirates""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""AL-AIN"",
    ""United Arab Emirates""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.841,0.822,0.79
Results of Asian Cup group C matches played on Friday :,{'MISC': ['Asian Cup']},"```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Asian Cup""], ""MISC"": [""group C"", ""Friday""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Asian Cup""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Asian Cup""],
  ""MISC"": []
}
```",1,1,1,0.3333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.82,0.948,0.588
Japan 2 Syria 1 ( halftime 0-1 ),"{'LOC': ['Japan', 'Syria']}","```json
{""LOC"": [""Japan"", ""Syria""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""Japan"", ""Syria""],
  ""MISC"": []
}
```","```json
{""PER"": [], ""ORG"": [], ""LOC"": [""Japan"", ""Syria""], ""MISC"": []}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.533,1.207,0.862
Scorers :,{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The text ""Scorers :"" contains no named entities to extract.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.593,1.002,0.721
"Japan - Hassan Abbas 84 own goal , Takuya Takagi 88 .","{'PER': ['Hassan Abbas', 'Takuya Takagi'], 'LOC': ['Japan']}","{""PER"": [""Hassan Abbas"", ""Takuya Takagi""], ""ORG"": [], ""LOC"": [""Japan""], ""MISC"": []}","```json
{
  ""PER"": [""Hassan Abbas"", ""Takuya Takagi""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Hassan Abbas"", ""Takuya Takagi""],
  ""ORG"": [],
  ""LOC"": [""Japan""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.839,1.014,0.717
Syria - Nader Jokhadar 7,"{'PER': ['Nader Jokhadar'], 'LOC': ['Syria']}","{""PER"": [""Nader Jokhadar""], ""ORG"": [], ""LOC"": [""Syria""], ""MISC"": []}","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [""Nader Jokhadar""],
  ""ORG"": [],
  ""LOC"": [""Syria""],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.628,1.196,0.651
"Attendance : 10,000 .",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.479,1.005,0.749
China 0 Uzbekistan 2 ( halftime 0-0 ),"{'LOC': ['China', 'Uzbekistan']}","```json
{""LOC"": [""China"", ""Uzbekistan""]}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [""China"", ""Uzbekistan""],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [
    ""China"",
    ""Uzbekistan""
  ],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.662,0.959,0.628
"Scorers : Shkvyrin Igor 78 , Shatskikh Oleg 90","{'PER': ['Shkvyrin Igor', 'Shatskikh Oleg']}","{""PER"": [""Shkvyrin Igor"", ""Shatskikh Oleg""], ""ORG"": [], ""LOC"": [], ""MISC"": []}","```json
{
  ""PER"": [""Shkvyrin Igor"", ""Shatskikh Oleg""],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [
    ""Shkvyrin Igor"",
    ""Shatskikh Oleg""
  ],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.911,0.832,1.111
"Attendence : 3,000",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.718,1.226,0.585
"Standings ( tabulate under played , won , drawn , lost , goals",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The provided text contains only generic column headers for a sports standings table (played, won, drawn, lost, goals) and does not include any named entities such as specific persons, organizations, locations, or miscellaneous proper nouns.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.643,1.331,0.618
"for , goals against , points ) :",{},{},"```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```

The provided text contains only generic statistical terms (goals against, points) and formatting elements, with no named entities to extract.","```json
{
  ""PER"": [],
  ""ORG"": [],
  ""LOC"": [],
  ""MISC"": []
}
```",1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.611,1.319,0.745
